country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",2026-07-06 10:00:00,12.7816279,77.6299145,SO2,21.0,21.0,21.0,10,Monday,0.0,Good/Satisfactory
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",2026-07-06 10:00:00,11.55358,76.55521,PM10,31.0,46.0,44.0,10,Monday,15.0,Good/Satisfactory
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",2026-07-06 10:00:00,11.55358,76.55521,NH3,2.0,2.0,2.0,10,Monday,0.0,Good/Satisfactory
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",2026-07-06 10:00:00,13.428828,77.731418,NO2,2.0,4.0,3.0,10,Monday,2.0,Good/Satisfactory
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",2026-07-06 10:00:00,13.328028,75.797056,NO2,12.0,19.0,15.0,10,Monday,7.0,Good/Satisfactory
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",2026-07-06 10:00:00,15.411456,75.638133,PM10,32.0,41.0,36.0,10,Monday,9.0,Good/Satisfactory
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",2026-07-06 10:00:00,15.411456,75.638133,NH3,3.0,5.0,4.0,10,Monday,2.0,Good/Satisfactory
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",2026-07-06 10:00:00,15.411456,75.638133,SO2,24.0,39.0,30.0,10,Monday,15.0,Good/Satisfactory
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",2026-07-06 10:00:00,15.3714823,75.1160168,PM2.5,23.0,27.0,25.0,10,Monday,4.0,Good/Satisfactory
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",2026-07-06 10:00:00,17.336318,76.847397,PM2.5,10.0,31.0,19.0,10,Monday,21.0,Good/Satisfactory
